x,y,id,timestamp
690.0,448.0,3-2,2023-01-23 09:04:58.640724
700.0,467.0,3-2,2023-01-23 09:04:58.649480
699.0,471.0,3-2,2023-01-23 09:04:58.653099
709.0,492.0,3-2,2023-01-23 09:04:58.660675
714.0,505.0,3-2,2023-01-23 09:04:58.668474
720.0,522.0,3-2,2023-01-23 09:04:58.675237
323.0,478.0,2-3,2023-01-23 09:04:58.729326
329.0,470.0,2-3,2023-01-23 09:04:58.736617
332.0,468.0,2-3,2023-01-23 09:04:58.744578
333.0,469.0,2-3,2023-01-23 09:04:58.750436
331.0,470.0,2-3,2023-01-23 09:04:58.766672
332.0,470.0,2-3,2023-01-23 09:04:58.774836
332.0,469.0,2-3,2023-01-23 09:04:58.780503
332.0,469.0,2-3,2023-01-23 09:04:58.785443
331.0,469.0,2-3,2023-01-23 09:04:58.792894
332.0,469.0,2-3,2023-01-23 09:04:58.801876
332.0,469.0,2-3,2023-01-23 09:04:58.807682
332.0,470.0,2-3,2023-01-23 09:04:58.812984
332.0,470.0,2-3,2023-01-23 09:04:58.818004
332.0,470.0,2-3,2023-01-23 09:04:58.822904
333.0,470.0,2-3,2023-01-23 09:04:58.830644
333.0,472.0,2-3,2023-01-23 09:04:58.837320
332.0,470.0,2-3,2023-01-23 09:04:58.844437
332.0,470.0,2-3,2023-01-23 09:04:58.851081
332.0,470.0,2-3,2023-01-23 09:04:58.855201
333.0,469.0,2-3,2023-01-23 09:04:58.860586
332.0,470.0,2-3,2023-01-23 09:04:58.866079
333.0,470.0,2-3,2023-01-23 09:04:58.876420
332.0,470.0,2-3,2023-01-23 09:04:58.882005
333.0,469.0,2-3,2023-01-23 09:04:58.888295
333.0,470.0,2-3,2023-01-23 09:04:58.894787
333.0,470.0,2-3,2023-01-23 09:04:58.904590
333.0,470.0,2-3,2023-01-23 09:04:58.918204
333.0,471.0,2-3,2023-01-23 09:04:58.940751
333.0,471.0,2-3,2023-01-23 09:04:58.945076
333.0,471.0,2-3,2023-01-23 09:04:58.948863
333.0,471.0,2-3,2023-01-23 09:04:58.957550
333.0,471.0,2-3,2023-01-23 09:04:58.961855
334.0,471.0,2-3,2023-01-23 09:04:58.967342
334.0,471.0,2-3,2023-01-23 09:04:58.975721
334.0,471.0,2-3,2023-01-23 09:04:58.978606
334.0,471.0,2-3,2023-01-23 09:04:58.982018
334.0,471.0,2-3,2023-01-23 09:04:58.988283
334.0,471.0,2-3,2023-01-23 09:04:58.992249
337.0,397.0,3-2,2023-01-23 09:04:59.000007
348.0,388.0,3-2,2023-01-23 09:04:59.007815
358.0,383.0,3-2,2023-01-23 09:04:59.013937
376.0,373.0,3-2,2023-01-23 09:04:59.017924
401.0,356.0,3-2,2023-01-23 09:04:59.023974
403.0,353.0,3-2,2023-01-23 09:04:59.031355
414.0,351.0,3-2,2023-01-23 09:04:59.051002
420.0,346.0,3-2,2023-01-23 09:04:59.058260
434.0,341.0,3-2,2023-01-23 09:04:59.064878
451.0,334.0,3-2,2023-01-23 09:04:59.073740
468.0,330.0,3-2,2023-01-23 09:04:59.083486
482.0,325.0,3-2,2023-01-23 09:04:59.089648
486.0,308.0,3-2,2023-01-23 09:04:59.093034
526.0,320.0,3-2,2023-01-23 09:04:59.095499
540.0,319.0,3-2,2023-01-23 09:04:59.098152
557.0,324.0,3-2,2023-01-23 09:04:59.101935
583.0,334.0,3-2,2023-01-23 09:04:59.105227
593.0,338.0,3-2,2023-01-23 09:04:59.108176
607.0,348.0,3-2,2023-01-23 09:04:59.113962
622.0,362.0,3-2,2023-01-23 09:04:59.119830
627.0,368.0,3-2,2023-01-23 09:04:59.122261
642.0,378.0,3-2,2023-01-23 09:04:59.125448
653.0,394.0,3-2,2023-01-23 09:04:59.127086
659.0,402.0,3-2,2023-01-23 09:04:59.129491
671.0,417.0,3-2,2023-01-23 09:04:59.144967
681.0,434.0,3-2,2023-01-23 09:04:59.146248
690.0,448.0,3-2,2023-01-23 09:04:59.148780
700.0,467.0,3-2,2023-01-23 09:04:59.172220
699.0,471.0,3-2,2023-01-23 09:04:59.181426
709.0,492.0,3-2,2023-01-23 09:04:59.183050
714.0,505.0,3-2,2023-01-23 09:04:59.184484
720.0,522.0,3-2,2023-01-23 09:04:59.196895
724.0,532.0,3-2,2023-01-23 09:04:59.207042
726.0,542.0,3-2,2023-01-23 09:04:59.211939
726.0,547.0,3-2,2023-01-23 09:04:59.221774
323.0,478.0,2-3,2023-01-23 09:04:59.277193
329.0,470.0,2-3,2023-01-23 09:04:59.279189
332.0,468.0,2-3,2023-01-23 09:04:59.282040
333.0,469.0,2-3,2023-01-23 09:04:59.288806
331.0,470.0,2-3,2023-01-23 09:04:59.317212
332.0,470.0,2-3,2023-01-23 09:04:59.329102
332.0,469.0,2-3,2023-01-23 09:04:59.339225
332.0,469.0,2-3,2023-01-23 09:04:59.346196
331.0,469.0,2-3,2023-01-23 09:04:59.353491
332.0,469.0,2-3,2023-01-23 09:04:59.363209
332.0,469.0,2-3,2023-01-23 09:04:59.382398
332.0,470.0,2-3,2023-01-23 09:04:59.389002
332.0,470.0,2-3,2023-01-23 09:04:59.395921
332.0,470.0,2-3,2023-01-23 09:04:59.404858
333.0,470.0,2-3,2023-01-23 09:04:59.414202
333.0,472.0,2-3,2023-01-23 09:04:59.420982
332.0,470.0,2-3,2023-01-23 09:04:59.427829
332.0,470.0,2-3,2023-01-23 09:04:59.451858
332.0,470.0,2-3,2023-01-23 09:04:59.460399
333.0,469.0,2-3,2023-01-23 09:04:59.465815
332.0,470.0,2-3,2023-01-23 09:04:59.471532
333.0,470.0,2-3,2023-01-23 09:04:59.477010
332.0,470.0,2-3,2023-01-23 09:04:59.497382
333.0,469.0,2-3,2023-01-23 09:04:59.509608
333.0,470.0,2-3,2023-01-23 09:04:59.510970
333.0,470.0,2-3,2023-01-23 09:04:59.513966
333.0,470.0,2-3,2023-01-23 09:04:59.531566
